level0;id;SCaCodigo;SCaTipo;SCaNombre;SHAPE_Leng;SHAPE_Area;areakm;count_hurtos;count_accidentes;count_alojamiento;count_sitp;count_restaurantes;count_parques;count_sitios;hurtos;accidentes;alojamiento;sitp;restaurantes;parques;sitios;c1_index;cluster;
0;205109;205109;2;LA MAGDALENA I;0.03031026924;3.98E-05;0.4949435871;149;38;0;9;0;0;5;3.010.444.097;7.677.642.663;0;1.818.389.052;0;0;101.021.614;38.072.615;0;205109
1;205227;205227;2;OSORIO IX;0.01485325307;1.29E-05;0.1608360356;7;0;0;0;0;0;0;435.225.848;0;0;0;0;0;0;0.1624881824;3;205227
2;208128;208128;2;TORCA II;0.02625724619;3.08E-05;0.3826353298;8;1;0;0;0;0;0;2.090.763.549;2.613.454.436;0;0;0;0;0;0.09331775747;3;208128
3;105203;105203;1;OSORIO II;0.03204772734;3.47E-05;0.431157033;12;0;0;0;0;0;0;2.783.208.688;0;0;0;0;0;0;0.1039089298;3;105203
4;201109;201109;2;INGEMAR I;0.02119909593;5.51E-06;0.0685368686;17;0;0;0;0;0;0;2.480.416.796;0;0;0;0;0;0;0.9260443021;3;201109
5;201110;201110;2;INGEMAR ORIENTAL I;0.03673904204;2.03E-05;0.2529479126;34;16;0;0;0;0;3;134.415.025;6.325.412.941;0;0;0;0;1.186.014.926;161.703.454;3;201110
6;201317;201317;2;TIBAQUE III;0.03038229258;2.09E-05;0.2595519749;6;1;0;3;0;0;8;2.311.675.726;3.852.792.877;0;1.155.837.863;0;0;3.082.234.302;3.063.966.493;3;201317
7;201408;201408;2;LA PERSEVERANCIA I;0.006432236448;1.50E-06;0.01860626679;44;0;0;1;0;0;0;2.364.794.641;0;0;5.374.533.275;0;0;0;1.355.700.745;5;201408
8;001340;1340;0;TIHUAQUE;0.02241917812;1.40E-05;0.1740060132;22;22;0;1;0;0;1;1.264.324.123;1.264.324.123;0;5.746.927.832;0;0;5.746.927.832;207.729.195;3;001340
9;002305;2305;0;LIBERTADOR;0.02136023533;2.63E-05;0.3271051691;226;90;0;3;0;0;3;6.909.092.895;2.751.408.675;0;917.136.225;0;0;917.136.225;5.569.690.228;3;002305
10;004501;4501;0;HIPOTECHO;0.03294405946;5.56E-05;0.6907719022;727;361;0;9;1;0;19;1.052.445.819;5.226.037.696;0;1.302.890.284;1.447.655.871;0;2.750.546.156;1.017.118.665;0;004501
11;002550;2550;0;DUITAMA;0.005830334441;1.34E-06;0.01667875821;7;0;0;1;0;0;1;4.196.955.141;0;0;5.995.650.201;0;0;5.995.650.201;1.061.203.091;5;002550
12;002533;2533;0;SOTAVENTO;0.02286393579;1.67E-05;0.2069857748;54;64;0;6;0;0;6;2.608.874.936;3.091.999.925;0;2.898.749.929;0;0;2.898.749.929;7.152.611.563;0;002533
13;004565;4565;0;TOCAREMA;0.02101422163;1.49E-05;0.1849833685;150;121;0;5;0;0;12;8.108.837.094;6.541.128.589;0;2.702.945.698;0;0;6.487.069.675;1.330.434.908;0;004565
14;004516;4516;0;BOITA;0.02418752373;1.96E-05;0.2440548007;110;47;0;6;0;0;4;4.507.184.439;1.925.796.988;0;245.846.424;0;0;163.897.616;6.000.778.721;0;004516
15;009224;9224;0;NUEVA TIBABUYES;0.03088110269;3.57E-05;0.4438755886;145;40;0;10;0;0;10;3.266.681.109;9.011.534.094;0;2.252.883.524;0;0;2.252.883.524;5.144.534.738;0;009224
16;009103;9103;0;CANTAGALLO;0.0456255167;7.53E-05;0.9357292703;286;118;0;10;0;0;14;3.056.439.603;1.261.048.508;0;1.068.685.176;0;0;1.496.159.246;375.852.098;3;009103
17;005616;5616;0;LOS CEREZOS;0.03581241711;3.85E-05;0.4783640019;462;285;0;9;0;0;35;9.657.917.363;5.957.806.165;0;1.881.412.473;0;0;7.316.604.063;1.334.099.327;0;005616
18;104129;104129;1;EL MOCHUELO II;0.1101594776;0.0002866135027;3.562.799.145;5;8;0;5;0;0;0;1.403.390.929;2.245.425.486;0;1.403.390.929;0;0;0;0.1418140773;3;104129
19;006534;6534;0;EL TINTAL IV;0.01992579254;2.29E-05;0.2845121449;91;98;0;2;0;0;0;3.198.457.487;3.444.492.679;0;7.029.576.895;0;0;0;3.823.884.707;3;006534
20;009209;9209;0;VILLA MARIA;0.02435087967;2.04E-05;0.2530996461;248;135;0;3;0;0;11;9.798.512.318;5.333.867.592;0;1.185.303.909;0;0;4.346.114.334;1.054.870.114;0;009209
21;006208;6208;0;ORTEZAL;0.04119841609;8.34E-05;1.036.648.136;596;315;39;14;1;0;62;5.749.298.913;3.038.639.526;3.762.125.128;1.350.506.456;0.9646474687;0;5.980.814.306;1.849.627.638;0;006208
22;004413;4413;0;AUTOPISTA MUZU ORIENTAL;0.02589543882;2.98E-05;0.3703075739;274;148;0;7;0;0;10;7.399.254.547;3.996.677.638;0;1.890.320.505;0;0;2.700.457.864;845.746.782;0;004413
23;004540;4540;0;CATALINA II;0.0209630013;2.30E-05;0.28548222;117;13;0;12;0;0;11;4.098.328.785;455.369.865;0;4.203.414.138;0;0;3.853.129.627;7.917.035.606;5;004540
24;003110;3110;0;LA CATEDRAL;0.02388353269;2.93E-05;0.3641422585;2072;244;21;5;15;0;291;5.690.083.893;6.700.677.943;5.766.976.919;1.373.089.743;4.119.269.228;0;7.991.382.301;100;2;003110
25;002626;2626;0;BOLONIA I;0.05306028878;9.21E-05;1.145.470.799;3;5;0;3;0;0;0;2.619.010.457;4.365.017.429;0;2.619.010.457;0;0;0;0.2656732088;3;002626
26;004205;4205;0;PRIMAVERA OCCIDENTAL;0.0263790447;3.54E-05;0.4399348688;298;116;0;14;0;0;20;6.773.729.958;2.636.753.943;0;3.182.289.242;0;0;4.546.127.488;972.712.255;0;004205
27;002585;2585;0;EL MOCHUELO URBANO;0.01010793406;3.75E-06;0.04660968304;0;5;0;0;0;0;2;0;1.072.738.469;0;0;0;0;4.290.953.874;332.484.793;3;002585
28;202511;202511;2;PUERTA AL LLANO RURAL;0.03495121001;4.52E-05;0.5613439605;34;1;0;5;0;0;1;6.056.892.457;1.781.438.958;0;8.907.194.789;0;0;1.781.438.958;1.132.168.732;3;202511
29;102601;102601;1;CENTRO USME RURAL;0.02768457004;1.99E-05;0.2476485471;1;0;0;0;0;0;0;4.037.980.484;0;0;0;0;0;0;0.0150754858;3;102601
30;002577;2577;0;DANUBIO II;0.02036788105;9.26E-06;0.1150847958;65;4;0;2;0;0;2;5.648.009.326;3.475.698.047;0;1.737.849.023;0;0;1.737.849.023;4.933.342.376;0;002577
